account_id,email,password,recovery_email,assigned_proxy,persona_name,status,last_active,created_at,warmup_stage,subscribed_to_groundwork,session_file,notes
acc_001,elena.researcher.01@gmail.com,SecureVault2026!,elena.recovery01@gmail.com,residential_us_nyc,US_NYC_Chrome_Desktop,active,2026-09-13T03:47:03Z,2026-09-10T00:00:00Z,0,true,,ready
acc_002,elena.finance.02@gmail.com,SecureVault2026!,elena.recovery02@gmail.com,residential_us_austin,US_Austin_Windows_Chrome,active,2026-09-13T08:15:00Z,2026-09-10T00:00:00Z,0,false,,initial_provision
acc_003,elena.tech.03@gmail.com,SecureVault2026!,elena.recovery03@gmail.com,residential_uk_london,UK_London_Safari_Mac,active,2026-09-13T08:30:00Z,2026-09-10T00:00:00Z,0,false,,initial_provision
acc_004,elena.health.04@gmail.com,SecureVault2026!,elena.recovery04@gmail.com,residential_au_sydney,AU_Sydney_Windows_Firefox,cooldown,2026-09-12T19:00:00Z,2026-09-10T00:00:00Z,0,false,,initial_provision
acc_005,elena.sub.05@gmail.com,SecureVault2026!,elena.sub.rec.05@gmail.com,residential_us_la,US_LA_iPhone_Safari,active,2026-09-13T02:58:30Z,2026-09-13T02:58:30Z,0,false,,initial_provision
acc_007,elena.sub.07@gmail.com,SecureVault2026!,elena.sub.rec.07@gmail.com,residential_us_austin,US_Austin_Windows_Chrome,active,2026-09-13T02:58:30Z,2026-09-13T02:58:30Z,0,false,,initial_provision
acc_009,elena.sub.09@gmail.com,SecureVault2026!,elena.sub.rec.09@gmail.com,residential_au_sydney,AU_Sydney_Windows_Firefox,active,2026-09-13T02:58:30Z,2026-09-13T02:58:30Z,0,false,,initial_provision
acc_011,elena.sub.11@gmail.com,SecureVault2026!,elena.sub.rec.11@gmail.com,residential_us_nyc,US_NYC_Chrome_Desktop,active,2026-09-13T02:58:30Z,2026-09-13T02:58:30Z,0,false,,initial_provision
acc_013,elena.sub.13@gmail.com,SecureVault2026!,elena.sub.rec.13@gmail.com,residential_uk_london,UK_London_Safari_Mac,active,2026-09-13T02:58:30Z,2026-09-13T02:58:30Z,0,false,,initial_provision
acc_015,elena.sub.15@gmail.com,SecureVault2026!,elena.sub.rec.15@gmail.com,residential_us_la,US_LA_iPhone_Safari,active,2026-09-13T02:58:30Z,2026-09-13T02:58:30Z,0,false,,initial_provision
acc_017,elena.sub.17@gmail.com,SecureVault2026!,elena.sub.rec.17@gmail.com,residential_us_austin,US_Austin_Windows_Chrome,active,2026-09-13T02:58:30Z,2026-09-13T02:58:30Z,0,false,,initial_provision
acc_019,elena.sub.19@gmail.com,SecureVault2026!,elena.sub.rec.19@gmail.com,residential_au_sydney,AU_Sydney_Windows_Firefox,active,2026-09-13T02:58:30Z,2026-09-13T02:58:30Z,0,false,,initial_provision
acc_021,elena.sub.21@gmail.com,SecureVault2026!,elena.sub.rec.21@gmail.com,residential_us_nyc,US_NYC_Chrome_Desktop,active,2026-09-13T02:58:30Z,2026-09-13T02:58:30Z,0,false,,initial_provision
acc_023,elena.sub.23@gmail.com,SecureVault2026!,elena.sub.rec.23@gmail.com,residential_uk_london,UK_London_Safari_Mac,active,2026-09-13T02:58:30Z,2026-09-13T02:58:30Z,0,false,,initial_provision
acc_016,elena.sub.16@gmail.com,SecureVault2026!,elena.sub.rec.16@gmail.com,residential_us_nyc,US_NYC_Chrome_Desktop,active,2026-09-13T03:01:54Z,2026-09-13T03:01:54Z,0,false,,initial_provision
acc_018,elena.sub.18@gmail.com,SecureVault2026!,elena.sub.rec.18@gmail.com,residential_uk_london,UK_London_Safari_Mac,active,2026-09-13T03:01:54Z,2026-09-13T03:01:54Z,0,false,,initial_provision
acc_020,elena.sub.20@gmail.com,SecureVault2026!,elena.sub.rec.20@gmail.com,residential_us_la,US_LA_iPhone_Safari,active,2026-09-13T03:01:54Z,2026-09-13T03:01:54Z,0,false,,initial_provision
acc_022,elena.sub.22@gmail.com,SecureVault2026!,elena.sub.rec.22@gmail.com,residential_us_austin,US_Austin_Windows_Chrome,active,2026-09-13T03:01:54Z,2026-09-13T03:01:54Z,0,false,,initial_provision
acc_024,elena.sub.24@gmail.com,SecureVault2026!,elena.sub.rec.24@gmail.com,residential_au_sydney,AU_Sydney_Windows_Firefox,active,2026-09-13T03:01:54Z,2026-09-13T03:01:54Z,0,false,,initial_provision
